,City,PayDayLoans5,PayDayLoans25,PayDayLoans50,PayDayLoans100,Groceries5,Groceries25,Groceries50,Groceries100,PawnShops5,PawnShops25,PawnShops50,PawnShops100,ConvenienceStores5,ConvenienceStores25,ConvenienceStores50,ConvenienceStores100,Restaurants5,Restaurants25,Restaurants50,Restaurants100,GasStations5,GasStations25,GasStations50,GasStations100,Optometrist5,Optometrist25,Optometrist50,Optometrist100,DollarStore5,DollarStore25,DollarStore50,DollarStore100,ChildCare5,ChildCare25,ChildCare50,ChildCare100,Pharmacy5,Pharmacy25,Pharmacy50,Pharmacy100,Dental5,Dental25,Dental50,Dental100,CheckCashing5,CheckCashing25,CheckCashing50,CheckCashing100
10,"University Park, IA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,"Columbus Junction, IA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"Correctionville, IA",0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,0.0,6.0,15.0,15.0,1.0,1.0,5.0,8.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0
13,"Pacific Junction, IA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"Sac City, IA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"Elma, IA",0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,17.0,17.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0
16,"Hamburg, IA",0.0,0.0,0.0,5.0,0.0,2.0,8.0,15.0,0.0,0.0,0.0,1.0,0.0,7.0,7.0,9.0,2.0,17.0,17.0,17.0,0.0,5.0,5.0,5.0,0.0,1.0,2.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,1.0,3.0,3.0,10.0,0.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0
17,"Everly, IA",0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,10.0,1.0,11.0,18.0,18.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
18,"Sheffield, IA",0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0,2.0,20.0,20.0,0.0,0.0,3.0,12.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,6.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
19,"Anita, IA",0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
